year,date,t_daily_mean,rain_daily,wind_daily_mean
1999,01/01/99,-0.6,0,0.82
1999,02/01/99,-0.04,4,1.02
1999,03/01/99,5.16,3,4.78
1999,04/01/99,7,1.2,2.08
1999,05/01/99,3.96,0,0.98
1999,06/01/99,1.3,0,1.04
1999,07/01/99,4.48,0.4,3.22
1999,08/01/99,6.56,9.55,4.74
1999,09/01/99,3.08,1.4,4.02
1999,10/01/99,1.08,0,3.82
1999,11/01/99,1.02,2.9,2.5
1999,12/01/99,-1.5,0.3,2.86
1999,13/01/99,0.36,3.05,4.7
1999,14/01/99,1.7,1.6,3.366666667
1999,15/01/99,0.4,0,1.48
1999,16/01/99,-0.14,0,1.06
1999,17/01/99,-0.66,0,0.74
1999,18/01/99,1.04,0,0.64
1999,19/01/99,-0.66,0,0.72
1999,20/01/99,-1.28,0,0.96
1999,21/01/99,-2.02,0,0.76
1999,22/01/99,-2.58,0,0.78
1999,23/01/99,-1.98,0,1.3
1999,24/01/99,-1.42,0,1.22
1999,25/01/99,0.82,0,1.5
1999,26/01/99,4.74,6.3,3.12
1999,27/01/99,2.2,4.85,5.18
1999,28/01/99,2.06,17.2,5.06
1999,29/01/99,0.24,2.35,3.24
1999,30/01/99,-4.96,0,3.1
1999,31/01/99,-5.4,0,5.36
1999,01/02/99,-5.46,0,4.42
1999,02/02/99,-1.68,0,2.56
1999,03/02/99,-0.14,0,0.9
1999,04/02/99,2.82,0,1.76
1999,05/02/99,3.66,6.7,6.04
1999,06/02/99,1.56,6,5.06
1999,07/02/99,0.8,13.35,5.56
1999,08/02/99,-2.2,3.6,4.88
1999,09/02/99,-0.34,24.65,3.26
1999,10/02/99,-5.24,0.4,1.1
1999,11/02/99,-4.56,1.35,1.4
1999,12/02/99,-8.36,0,3.46
1999,13/02/99,-6.92,0,5.2
1999,14/02/99,-5.7,0,1.56
1999,15/02/99,-6.26,0,0.86
1999,16/02/99,-1.1,0.9,3.12
1999,17/02/99,1.28,4.2,5.4
1999,18/02/99,1.62,11.65,3.7
1999,19/02/99,3.52,10.9,3.4
1999,20/02/99,4.98,16.85,4.24
1999,21/02/99,5.92,11.65,6.22
1999,22/02/99,2.5,12.05,6.18
1999,23/02/99,0.26,1.35,4.86
1999,24/02/99,0.06,4.5,2.6
1999,25/02/99,0.98,0,2.4
1999,26/02/99,-0.08,0,0.9
1999,27/02/99,1.8,0,1
1999,28/02/99,2.84,0.5,0.64
1999,01/03/99,3.86,1.45,3.38
1999,02/03/99,8.36,2.2,4.44
1999,03/03/99,7.88,0,3.4
1999,04/03/99,1.92,21,0.96
1999,05/03/99,2.76,2.1,4.06
1999,06/03/99,2.34,1.25,2.5
1999,07/03/99,1.8,0,3.78
1999,08/03/99,0.4,8.7,0.88
1999,09/03/99,6.92,2.9,3.14
1999,10/03/99,7.36,1.45,1.08
1999,11/03/99,7.12,0,1.7
1999,12/03/99,6.76,0,1
1999,13/03/99,8.1,0,0.88
1999,14/03/99,9.44,0,1.04
1999,15/03/99,9.56,0,2.4
1999,16/03/99,8.64,0,3.78
1999,17/03/99,4.98,0,5.36
1999,18/03/99,3.9,0,3.3
1999,19/03/99,3.16,0,1.08
1999,20/03/99,3.52,0,1.6
1999,21/03/99,4.98,1.85,3
1999,22/03/99,4.46,11.35,4.74
1999,23/03/99,3.82,2.6,2.88
1999,24/03/99,5.04,0,1.08
1999,25/03/99,6.92,0,1.26
1999,26/03/99,8.96,0.75,1.76
1999,27/03/99,5.16,5.75,1.76
1999,28/03/99,4.08,0,1.44
1999,29/03/99,5.08,0,1.14
1999,30/03/99,6,0,1.8
1999,31/03/99,6.94,0,2.04
1999,01/04/99,8.74,0,1.34
1999,02/04/99,9.88,0.5,1.5
1999,03/04/99,11.66,0,1.68
1999,04/04/99,11.96,0.1,2.72
1999,05/04/99,10.84,0,1.2
1999,06/04/99,12.74,0,2.58
1999,07/04/99,8.48,26,2.86
1999,08/04/99,7.6,1.2,3.16
1999,09/04/99,8.64,0,2.96
1999,10/04/99,8.66,0,1.3
1999,11/04/99,7.86,4.65,2.4
1999,12/04/99,4.72,8.2,3.88
1999,13/04/99,5.72,8.35,5.4
1999,14/04/99,7.4,0.15,5.52
1999,15/04/99,1.46,14.1,2.56
1999,16/04/99,1.6,6.85,0.74
1999,17/04/99,3.92,0.05,1.38
1999,18/04/99,3.66,5.35,3.32
1999,19/04/99,4.28,6.05,3.22
1999,20/04/99,5.96,0.5,1.18
1999,21/04/99,8.96,8.2,2.06
1999,22/04/99,10.86,3,3.3
1999,23/04/99,9.12,1.2,1.72
1999,24/04/99,9.34,0.4,1.64
1999,25/04/99,10.24,0,1.7
1999,26/04/99,11.98,17.55,2.22
1999,27/04/99,12.46,4.4,2.18
1999,28/04/99,11.74,0.05,3.52
1999,29/04/99,13.8,5.6,2.84
1999,30/04/99,12.7,3.6,2.1
1999,01/05/99,14.86,0.05,1.42
1999,02/05/99,14.7,0,1.86
1999,03/05/99,16.48,0,3.42
1999,04/05/99,15.52,0,2.84
1999,05/05/99,15.14,7.95,1.48
1999,06/05/99,15.86,3,1.52
1999,07/05/99,15.6,5.2,1.56
1999,08/05/99,13.38,22.7,2.22
1999,09/05/99,13.88,0,2
1999,10/05/99,15.5,1.15,1.94
1999,11/05/99,14.58,22.85,1.28
1999,12/05/99,15.16,33.85,3.14
1999,13/05/99,15.76,9.35,2.6
1999,14/05/99,12.7,27.05,1.18
1999,15/05/99,12.72,0,1.84
1999,16/05/99,12.68,0,3.6
1999,17/05/99,10.86,1.35,3.8
1999,18/05/99,13.88,0.4,2.06
1999,19/05/99,12.42,8.3,1.66
1999,20/05/99,11.58,8.85,2.48
1999,21/05/99,12.5,1.05,3.2
1999,22/05/99,12.72,3.6,2.88
1999,23/05/99,13.08,0,1.68
1999,24/05/99,16.54,0,1.34
1999,25/05/99,16.82,2.7,1.66
1999,26/05/99,17.46,0,1.04
1999,27/05/99,19.74,0.55,1.52
1999,28/05/99,19.06,0.05,1.4
1999,29/05/99,19.86,0,1.6
1999,30/05/99,20.88,0,2.04
1999,31/05/99,19.26,2.25,1.22
1999,01/06/99,20.08,4.85,1.26
1999,02/06/99,18.62,11.85,2.133333333
1999,03/06/99,17.66,9.15,2.7
1999,04/06/99,14.34,4.05,4.1
1999,05/06/99,12.58,0.05,1.86
1999,06/06/99,10.94,19.55,1.78
1999,07/06/99,13.82,13.6,1.566666667
1999,08/06/99,12.84,21.6,2
1999,09/06/99,14.82,0,1.88
1999,10/06/99,13.2,10.6,1.6
1999,11/06/99,14.64,0.4,1.82
1999,12/06/99,14.96,0,1.78
1999,13/06/99,16.28,8.5,1.72
1999,14/06/99,14.4,0.05,2.1
1999,15/06/99,16.56,0,2.82
1999,16/06/99,17.26,0,2.82
1999,17/06/99,17.9,0,1.78
1999,18/06/99,16.68,0,2.6
1999,19/06/99,14.56,0,2.76
1999,20/06/99,15.52,0,2.34
1999,21/06/99,12.28,19.55,3.28
1999,22/06/99,11.9,0.15,1.72
1999,23/06/99,13.54,0,2.8
1999,24/06/99,15.92,0,2.48
1999,25/06/99,17.72,0,1.24
1999,26/06/99,15.24,4.55,1.3
1999,27/06/99,17.06,13.05,2.16
1999,28/06/99,15.66,1.65,2.68
1999,29/06/99,16.32,0.1,1.1
1999,30/06/99,17.8,0,2.54
1999,01/07/99,18.82,0,1.4
1999,02/07/99,20.7,0,1.26
1999,03/07/99,22.48,0,1.16
1999,04/07/99,23.34,0.1,1.36
1999,05/07/99,21.08,5.95,2.06
1999,06/07/99,16.36,15.4,2.3
1999,07/07/99,16.02,11.5,1.5
1999,08/07/99,16.74,0.15,3.34
1999,09/07/99,16.98,0,5.48
1999,10/07/99,17.16,6.6,2.08
1999,11/07/99,19.04,18.55,1.64
1999,12/07/99,19.1,0.1,1.18
1999,13/07/99,19.34,13.45,1.42
1999,14/07/99,18.5,9.15,3.84
1999,15/07/99,18.54,0.75,2.4
1999,16/07/99,17.82,0,1.46
1999,17/07/99,19.42,0,1.76
1999,18/07/99,20.74,0.45,1.26
1999,19/07/99,19.72,1.9,1.46
1999,20/07/99,21.1,0,2.22
1999,21/07/99,20.92,0,3.32
1999,22/07/99,17.3,0,3.24
1999,23/07/99,14.42,0.15,2.32
1999,24/07/99,16.06,0,4.58
1999,25/07/99,17.92,0,3.12
1999,26/07/99,19.52,0,2.4
1999,27/07/99,21.44,0,1.86
1999,28/07/99,19.76,0,2.36
1999,29/07/99,20.72,0,3.26
1999,30/07/99,19.26,0,1.98
1999,31/07/99,18.84,0,1.62
1999,01/08/99,19.38,0,1.24
1999,02/08/99,19.82,0,1.62
1999,03/08/99,18.94,5.7,1.36
1999,04/08/99,19.92,5.2,1.26
1999,05/08/99,20.86,0.85,1.34
1999,06/08/99,22.04,41.6,1.9
1999,07/08/99,20.34,0.2,1.46
1999,08/08/99,21.36,6.95,2.38
1999,09/08/99,21.54,9.1,1.72
1999,10/08/99,19.22,24.95,3.48
1999,11/08/99,17.22,5.15,1.88
1999,12/08/99,15.76,3.65,2
1999,13/08/99,16.26,1.1,1.58
1999,14/08/99,16.06,1.6,1.64
1999,15/08/99,17.72,3.65,3.22
1999,16/08/99,15.6,12.5,1.66
1999,17/08/99,16.72,2.55,1.42
1999,18/08/99,16.52,4.4,1.92
1999,19/08/99,17,7.55,2.38
1999,20/08/99,15.04,10.7,1.18
1999,21/08/99,15.94,0,2.12
1999,22/08/99,16.42,0,3.02
1999,23/08/99,16.58,0.15,0.88
1999,24/08/99,19.34,4.35,1.74
1999,25/08/99,20.88,0.25,1.04
1999,26/08/99,19.66,3.45,1.08
1999,27/08/99,19.96,0.05,0.86
1999,28/08/99,17.86,2.8,1.26
1999,29/08/99,17.3,0,3.36
1999,30/08/99,16.36,0,2.36
1999,31/08/99,16.98,0.05,1.62
1999,01/09/99,17.36,0,1.78
1999,02/09/99,17.04,0,4.74
1999,03/09/99,16.26,0,3.68
1999,04/09/99,15.96,0,1.18
1999,05/09/99,16.76,0,1.4
1999,06/09/99,16.36,0,1.78
1999,07/09/99,18.48,0,1.44
1999,08/09/99,17.84,0,2.04
1999,09/09/99,18,0,1.08
1999,10/09/99,17.88,0,1.5
1999,11/09/99,18.38,0,0.86
1999,12/09/99,19.36,0,1.08
1999,13/09/99,19.1,0,1.18
1999,14/09/99,18.7,0,0.88
1999,15/09/99,18.62,1.75,1.72
1999,16/09/99,16.34,4.5,1.68
1999,17/09/99,15.7,7.3,1.68
1999,18/09/99,14.66,0.1,2.02
1999,19/09/99,14.06,0.05,1.38
1999,20/09/99,14.02,30.35,2.14
1999,21/09/99,14.4,2.7,1.76
1999,22/09/99,15.52,0.1,1
1999,23/09/99,17.18,10,1.08
1999,24/09/99,17.72,13.3,1.06
1999,25/09/99,16.1,49,1.04
1999,26/09/99,14.14,5.15,2.24
1999,27/09/99,13.42,0.05,1.4
1999,28/09/99,13.73333333,8.85,5.566666667
1999,29/09/99,14.04,4.7,2.12
1999,30/09/99,12.8,6.35,3.38
1999,01/10/99,12.78,3.1,4.24
1999,02/10/99,13.12,0.15,1.98
1999,03/10/99,10.42,15.85,3.32
