year,colony,nestcode_rearing,ring,date_hatch,mass_50,wing_50,sternum_50,brood_size
2002,Solothurn,BT2002B62,ring_002156,29/06/02,106.2,210,41.2,2
2002,Solothurn,BT2002B62,ring_000385,29/06/02,97.9,208,37.8,2
2002,Solothurn,BT2002B56,ring_001712,29/06/02,105,211,40.6,2
2002,Solothurn,BT2002B56,ring_002736,29/06/02,111.3,213,41.5,2
2003,Solothurn,BT2003E82,ring_002101,30/05/03,119.7,228.5,41.5,3
2003,Solothurn,BT2003E82,ring_002051,30/05/03,106,224,40.8,3
2003,Solothurn,BT2003E82,ring_002626,30/05/03,98.9,219,40.3,3
2003,Solothurn,BT2003H74,ring_000326,30/05/03,96.4,223.5,39.8,3
2003,Solothurn,BT2003H74,ring_000604,30/05/03,104.4,224.5,40.5,3
2003,Solothurn,BT2003H74,ring_000349,30/05/03,105.8,222,39.5,3
2003,Solothurn,BT2003B15,ring_000209,01/06/03,101.7,212,41.3,3
2003,Solothurn,BT2003B15,ring_002263,01/06/03,99,227.5,40.7,3
2003,Solothurn,BT2003B15,ring_000747,01/06/03,100.9,225,41.5,3
2003,Solothurn,BT2003E66,ring_001072,01/06/03,105.1,231.5,42.6,2
2003,Solothurn,BT2003E66,ring_002010,01/06/03,100.1,224.5,41.8,2
2003,Solothurn,BT2003E43,ring_002064,02/06/03,105.1,213.5,41.9,3
2003,Solothurn,BT2003E43,ring_001278,02/06/03,94.2,215.5,37.8,3
2003,Solothurn,BT2003E43,ring_001174,02/06/03,95.2,208,38.2,3
2003,Solothurn,BT2003E98,ring_002530,02/06/03,87.3,211.5,38.2,3
2003,Solothurn,BT2003E98,ring_001851,02/06/03,95.9,213,39.5,3
2003,Solothurn,BT2003E98,ring_001664,02/06/03,90.5,221,40.9,3
2003,Solothurn,BT2003D79,ring_002652,03/06/03,91.6,221,39.7,3
2003,Solothurn,BT2003D79,ring_000132,03/06/03,103.5,225.5,42.7,3
2003,Solothurn,BT2003F21,ring_000286,03/06/03,92.6,220,40.5,3
2003,Solothurn,BT2003F21,ring_001739,03/06/03,95.6,216,39.7,3
2003,Solothurn,BT2003G83,ring_002045,04/06/03,106.6,229,39.3,2
2003,Solothurn,BT2003G83,ring_001902,04/06/03,99.5,215,41.6,2
2003,Solothurn,BT2003A1,ring_002557,04/06/03,84.2,217,39.4,3
2003,Solothurn,BT2003A1,ring_002079,04/06/03,99.9,221,40.5,3
2003,Solothurn,BT2003A1,ring_001007,04/06/03,92.3,219.5,39,3
2003,Solothurn,BT2003A63,ring_001928,04/06/03,92.7,216.5,38.1,3
2003,Solothurn,BT2003A63,ring_003087,04/06/03,92.3,214.5,40,3
2003,Solothurn,BT2003A63,ring_001548,04/06/03,84.8,223.5,40.1,3
2003,Solothurn,BT2003A22,ring_001049,04/06/03,99.6,223,40.4,3
2003,Solothurn,BT2003D721,ring_003056,05/06/03,90.2,223.5,40,3
2003,Solothurn,BT2003D721,ring_002274,05/06/03,91.3,226.5,39.2,3
2003,Solothurn,BT2003D721,ring_002889,05/06/03,90.2,217,39.8,3
2003,Solothurn,BT2003B34,ring_001388,05/06/03,102.7,222.5,40.3,2
2003,Solothurn,BT2003B34,ring_002091,05/06/03,108.5,220,42,2
2003,Solothurn,BT2003H49,ring_002319,06/06/03,92.7,227,40.7,1
2003,Solothurn,BT2003E102,ring_000881,06/06/03,100.7,219.5,39.9,3
2003,Solothurn,BT2003E102,ring_002856,06/06/03,96.8,227.5,40.3,3
2003,Solothurn,BT2003E102,ring_003177,06/06/03,103.5,222.5,38.2,3
2003,Solothurn,BT2003B100,ring_001948,06/06/03,102.4,224,41.3,3
2003,Solothurn,BT2003B100,ring_000942,06/06/03,91,208,38.9,3
2003,Solothurn,BT2003B100,ring_002050,06/06/03,92.9,216,40.3,3
2003,Solothurn,BT2003C91,ring_003150,06/06/03,91,213.5,40.7,3
2003,Solothurn,BT2003C91,ring_001989,06/06/03,105.7,224,38.8,3
2003,Solothurn,BT2003C91,ring_002696,06/06/03,109,221.5,41.8,3
2003,Solothurn,BT2003F8,ring_000246,06/06/03,98.6,204,39.7,3
2003,Solothurn,BT2003F8,ring_001387,06/06/03,94.1,224,38,3
2003,Solothurn,BT2003H25,ring_002191,06/06/03,96.4,210.5,39.6,3
2003,Solothurn,BT2003H25,ring_001964,06/06/03,97.9,213.5,38,3
2003,Solothurn,BT2003H25,ring_000670,06/06/03,97.6,210.5,38.7,3
2003,Solothurn,BT2003F8,ring_002082,06/06/03,107.4,221.5,40.5,3
2003,Solothurn,BT2003B2,ring_002057,07/06/03,92.8,221.5,38.5,3
2003,Solothurn,BT2003B2,ring_002746,07/06/03,92.9,213.5,40.9,3
2003,Solothurn,BT2003B2,ring_000093,07/06/03,98.6,223.5,43.1,3
2003,Solothurn,BT2003F35,ring_003045,07/06/03,82.2,218,39.8,3
2003,Solothurn,BT2003F35,ring_001200,07/06/03,100.6,222,42.1,3
2003,Solothurn,BT2003F35,ring_000826,07/06/03,91.1,222.5,40.7,3
2003,Solothurn,BT2003G14,ring_000435,08/06/03,79.8,190.5,39.5,3
2003,Solothurn,BT2003G14,ring_001013,07/06/03,84,221,41,3
2003,Solothurn,BT2003G14,ring_001938,07/06/03,97.1,219.5,41.4,3
2003,Solothurn,BT2003F36,ring_003022,07/06/03,104.1,224.5,41.6,3
2003,Solothurn,BT2003F36,ring_001903,08/06/03,83.2,215,39.2,3
2003,Solothurn,BT2003F36,ring_001046,08/06/03,87,220,40.8,3
2003,Solothurn,BT2003B62,ring_003151,09/06/03,97.9,220,38.8,3
2003,Solothurn,BT2003B62,ring_003127,09/06/03,106.6,228.5,40,3
2003,Solothurn,BT2003D97,ring_002025,09/06/03,103.7,226,40,3
2003,Solothurn,BT2003D80,ring_000289,12/06/03,92.2,212,39,2
2003,Solothurn,BT2003D80,ring_003094,12/06/03,89.7,215.5,40.9,2
2003,Solothurn,BT2003G60,ring_003024,12/06/03,101,222.5,40.2,3
2003,Solothurn,BT2003H70,ring_000045,13/06/03,93.9,213.5,36.8,2
2003,Solothurn,BT2003H70,ring_001432,13/06/03,79.8,215.5,40.8,2
2003,Solothurn,BT2003H110,ring_002641,13/06/03,114.8,220.5,43,3
